ID,Token erroné,POS réelle,POS supposée,Lemme supposé,Erreur,Catégorie,Longueur,Contexte,Correction,charge,outil,n_burst,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,charBurst,ratio
P+S1,⌫⌫.,Unknown,ABR,.,True,Suppression de caractères à l'intérieur d'un mot,2,.,.,+,TW,3,54.837,21.672,8.984,30.656,0.706941544885,0.293058455115,94,Beaucoup critiqué cette dernière s'avère parfois en effet fort efficace sur certaines points. ,76,170,170,P,"Beaucoup␣critiqué␣cette␣dernière␣s'avère␣parfois␣ene⌫␣effet␣fort␣efficace␣sur␣certaines␣points,␣⌫⌫.␣",2.41228851291
P+S1,certaine⌫s,Unknown,NOM,s,True,Suppression de caractères à l'intérieur d'un mot,1,certains,certains,+,TW,6,116.061,10.767,4.024,14.791,0.727942667839,0.272057332161,39,", certains remède sont encore utilisés ",306,345,345,P,",␣certaine⌫s␣remède␣sont␣encà⌫ore␣utilisés␣",2.67569582505
P+S1,encà⌫ore,Unknown,NOM,or,True,Suppression de caractères à l'intérieur d'un mot,1,encore,encore,+,TW,6,116.061,10.767,4.024,14.791,0.727942667839,0.272057332161,39,", certains remède sont encore utilisés ",306,345,345,P,",␣certaine⌫s␣remède␣sont␣encà⌫ore␣utilisés␣",2.67569582505
P+S1,s,Unknown,NOM,s,True,Lettre unique ajoutée,1,remède,remèdes,+,TW,9,145.38,96.0,7.536,7.632,0.0125786163522,0.987421383648,1,s,323,347,359,R,s,0.0127388535032
P+S1,s,Unknown,NOM,s,True,Lettre unique ajoutée,1,fond,fonds,+,TW,11,167.164,0.12,6.704,6.824,0.0175849941383,0.982415005862,1,s,276,361,361,R,s,0.0178997613365
P+S1,L'u⌫⌫⌫De,Unknown,DET:ART,de,True,Suppression de caractères à l'intérieur d'un mot,3,De,De,+,TW,12,184.604,18.136,17.32,35.456,0.511507220217,0.488492779783,67,De plus nous pouvons souligner le fait que la médecine alternative ,361,428,428,P,L'u⌫⌫⌫De␣plus␣nous␣pouvons␣com⌫⌫⌫souligner␣le␣fait␣que␣la␣médecine␣alternative␣,1.04711316397
P+S1,com⌫⌫⌫souligner,Unknown,VER:infi,souligner,True,Suppression de caractères à l'intérieur d'un mot,3,souligner,souligner,+,TW,12,184.604,18.136,17.32,35.456,0.511507220217,0.488492779783,67,De plus nous pouvons souligner le fait que la médecine alternative ,361,428,428,P,L'u⌫⌫⌫De␣plus␣nous␣pouvons␣com⌫⌫⌫souligner␣le␣fait␣que␣la␣médecine␣alternative␣,1.04711316397
P+S1,n'utilisepas⌫⌫⌫,Unknown,ADV,⌫,True,Suppression de caractères à l'intérieur d'un mot,3,n'utilise,n'utilise,+,TW,13,204.732,7.736,1.992,9.728,0.795230263158,0.204769736842,31,n'utilise pas que les croyances,428,459,459,RB,n'utilisepas⌫⌫⌫␣pas␣que␣les␣croyances,3.88353413655
P+S1,⌫⌫,BACKSPACE,ABR,⌫,True,Backspaces supprimant une chaîne,2,le,naturels,+,TW,16,228.123,248.0,3.92,4.168,0.0595009596929,0.940499040307,0,,482,483,495,RB,⌫⌫,0.0632653061224
P+S1,beaucoup⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫t,Unknown,NOM,t,True,Suppression de caractères à l'intérieur d'un mot,10,t,t,+,TW,17,232.035,64.68,3.664,68.344,0.946388856374,0.0536111436264,230,t énormément mis en avant contrairement à la médecine actuelle qui même si elle s'avère efficace utilise pour la plupart du temps des médicaments plus ou moins chimique pouvant parfois être plus nocif que la maladie en elle-même. ,495,724,724,P,␣beaucoup⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫t␣énom⌫rmément␣mis␣en␣avant␣contrairement␣à␣la␣médecine␣actuelle␣qui␣mêms⌫e␣si␣elle␣s'avère␣efficace␣ut'ilise␣la␣⌫⌫⌫⌫⌫⌫⌫⌫⌫⌫ilise␣pour␣la␣plupart␣dut⌫␣temps␣des␣médicament␣⌫s␣plus␣ou␣moins␣chimisuq⌫⌫que⌫⌫⌫⌫que␣pouvant␣parfois␣être␣plus␣nocif␣que␣la␣maladie␣en␣elle-même.␣,17.6528384279
